cable_id,from_device,from_terminal,to_device,to_terminal,cable_class,shield_termination,state,notes
PWR-24-01,24V control PSU,+24V/0V,Octopus Pro,MAIN POWER +/-,power pair,none,TBD,Verify polarity; 15-28V board range; use 24V only
PWR-36-X-DM860T,36V motion distribution,X fused branch,DM860T X,AC/AC,power pair,none,ROLLBACK-ONLY,DM860T rollback set only; AC/AC is no-polarity. NEVER apply to a CL57T
PWR-36-X,36V motion distribution,X fused branch,CL57T X,P4 +VDC/GND,power pair,none,TBD,"POLARIZED: +VDC to supply positive, GND to negative. Star branch; no daisy chain. Bus max 50VDC absolute"
PWR-36-YL-DM860T,36V motion distribution,YL fused branch,DM860T Y-left,AC/AC,power pair,none,ROLLBACK-ONLY,DM860T rollback set only; AC/AC is no-polarity. NEVER apply to a CL57T
PWR-36-YL,36V motion distribution,YL fused branch,CL57T Y-left,P4 +VDC/GND,power pair,none,TBD,"POLARIZED: +VDC to supply positive, GND to negative. Star branch; no daisy chain. Bus max 50VDC absolute"
PWR-36-Z-DM860T,36V motion distribution,Z fused branch,DM860T Z,AC/AC,power pair,none,ROLLBACK-ONLY,DM860T rollback set only; AC/AC is no-polarity. NEVER apply to a CL57T
PWR-36-Z,36V motion distribution,Z fused branch,CL57T Z,P4 +VDC/GND,power pair,none,TBD,"POLARIZED: +VDC to supply positive, GND to negative. Star branch; no daisy chain. Bus max 50VDC absolute"
PWR-36-YR-DM860T,36V motion distribution,YR fused branch,DM860T Y-right,AC/AC,power pair,none,ROLLBACK-ONLY,DM860T rollback set only; AC/AC is no-polarity. NEVER apply to a CL57T
PWR-36-YR,36V motion distribution,YR fused branch,CL57T Y-right,P4 +VDC/GND,power pair,none,TBD,"POLARIZED: +VDC to supply positive, GND to negative. Star branch; no daisy chain. Bus max 50VDC absolute"
PWR-5I-HOME,24V control distribution,fused branch,isolated 5V home supply,+24V/0V,power pair,none,HOLD,Candidate isolated home field supply only. Actual home voltage/current and module circuit unverified; do not assume module output takes no supply. Follow INTERFACE_BOARD.md A2; keep field separate from logic/probe domains.
CMD-X,MR1 interface,JX,CL57T X,P1 PUL+/PUL-/DIR+/DIR-,2 shielded twisted pairs,360deg cabinet clamp,TBD,Octopus MOTOR0 PF13/PF12/PF14. ENA unconnected - CL57T default. S3 MUST be 5V; 24V into a 5V-set input destroys the photocoupler
