"circuit_id","from_function","to_function","domain","required_proof","disposition","actual_from_terminal","actual_to_terminal","conductor_label","wire_specification","protective_device_reference","deenergized_continuity_result","isolation_or_unintended_connection_result","artifact_reference","checked_by","checked_at"
"SRC-X-STEP","MOTOR0 STEP signal (PF13; 5 V buffered socket output)","X qualified interface STEP input; actual terminal TBD","Controller logic / interface input","Actual v1.1 socket orientation, adapter retention and continuity; no plug-in stepper driver","HOLD - physical and circuit verification required","","","","","","","","","",""
"SRC-X-DIR","MOTOR0 DIR signal (PF12; 5 V buffered socket output)","X qualified interface DIR input; actual terminal TBD","Controller logic / interface input","Actual v1.1 socket orientation, adapter retention and continuity; no plug-in stepper driver","HOLD - physical and circuit verification required","","","","","","","","","",""
"SRC-X-RETURN","MOTOR0 verified logic GND","X qualified interface logic return; terminal TBD","Controller logic return","Verify physical contact and intentional return topology; never substitute a phase or power contact","HOLD - physical and circuit verification required","","","","","","","","","",""
"CMD-X-PULPLUS","Reviewed protected 5 V command supply / motion-permit interface","CL57T X P1 PUL+","5 V command only","Drive V4.1 identity; S3=5 V; qualified interface circuit and loaded input voltage/current","HOLD - physical and circuit verification required","","","","","","","","","",""
"CMD-X-DIRPLUS","Reviewed protected 5 V command supply / motion-permit interface","CL57T X P1 DIR+","5 V command only","Drive V4.1 identity; S3=5 V; qualified interface circuit and loaded input voltage/current","HOLD - physical and circuit verification required","","","","","","","","","",""
"CMD-X-PULMINUS","X qualified STEP sink output; terminal TBD","CL57T X P1 PUL-","5 V command only","Loaded pulse polarity, width, direction setup and power-transition behavior; no direct MCU connection","HOLD - physical and circuit verification required","","","","","","","","","",""
"CMD-X-DIRMINUS","X qualified DIR sink output; terminal TBD","CL57T X P1 DIR-","5 V command only","Loaded pulse polarity, width, direction setup and power-transition behavior; no direct MCU connection","HOLD - physical and circuit verification required","","","","","","","","","",""
"ENC-X","Matched X motor encoder factory harness","CL57T X P2 EA+/EA-/EB+/EB-/VCC/EGND","Drive-supplied encoder domain","Verify same motor/drive pairing and actual harness continuity. VCC is an output; no external supply. Do not guess wire colours.","HOLD - physical and circuit verification required","","","","","","","","","",""
"MOTOR-X","Matched X motor phase factory harness","CL57T X P3 A+/A-/B+/B-","Motor phases","Verify matched harness, pair identities, retention and strain relief with power absent; preserve encoder phase relationship","HOLD - physical and circuit verification required","","","","","","","","","",""
"BUS-X","Reviewed 36 V distribution / individual fused X branch","CL57T X P4 +VDC / GND","Polarized motion DC","Actual supply/branch design, conductor and fuse ratings, polarity, unloaded voltage, loaded transient qualification","HOLD - physical and circuit verification required","","","","","","","","","",""
"ALM-X","CL57T X P1 ALM / COMO","X separate isolated alarm conditioner; actual terminals TBD","Drive alarm field domain","Measured healthy, alarm, lost-power and open-cable truth table; current limiting and supervision schematic","HOLD - physical and circuit verification required","","","","","","","","","",""
"RES-X","MOTOR0 EN (PF14)","CL57T ENA+/ENA-: leave unconnected in active baseline","Reserved, not a safety function","No enable harness is released by this worksheet","UNUSED - do not populate without separately reviewed change","","","","","","","","","",""
"SRC-YL-STEP","MOTOR1 STEP signal (PG0; 5 V buffered socket output)","YL qualified interface STEP input; actual terminal TBD","Controller logic / interface input","Actual v1.1 socket orientation, adapter retention and continuity; no plug-in stepper driver","HOLD - physical and circuit verification required","","","","","","","","","",""
"SRC-YL-DIR","MOTOR1 DIR signal (PG1; 5 V buffered socket output)","YL qualified interface DIR input; actual terminal TBD","Controller logic / interface input","Actual v1.1 socket orientation, adapter retention and continuity; no plug-in stepper driver","HOLD - physical and circuit verification required","","","","","","","","","",""
"SRC-YL-RETURN","MOTOR1 verified logic GND","YL qualified interface logic return; terminal TBD","Controller logic return","Verify physical contact and intentional return topology; never substitute a phase or power contact","HOLD - physical and circuit verification required","","","","","","","","","",""
"CMD-YL-PULPLUS","Reviewed protected 5 V command supply / motion-permit interface","CL57T YL P1 PUL+","5 V command only","Drive V4.1 identity; S3=5 V; qualified interface circuit and loaded input voltage/current","HOLD - physical and circuit verification required","","","","","","","","","",""
"CMD-YL-DIRPLUS","Reviewed protected 5 V command supply / motion-permit interface","CL57T YL P1 DIR+","5 V command only","Drive V4.1 identity; S3=5 V; qualified interface circuit and loaded input voltage/current","HOLD - physical and circuit verification required","","","","","","","","","",""
"CMD-YL-PULMINUS","YL qualified STEP sink output; terminal TBD","CL57T YL P1 PUL-","5 V command only","Loaded pulse polarity, width, direction setup and power-transition behavior; no direct MCU connection","HOLD - physical and circuit verification required","","","","","","","","","",""
"CMD-YL-DIRMINUS","YL qualified DIR sink output; terminal TBD","CL57T YL P1 DIR-","5 V command only","Loaded pulse polarity, width, direction setup and power-transition behavior; no direct MCU connection","HOLD - physical and circuit verification required","","","","","","","","","",""
"ENC-YL","Matched YL motor encoder factory harness","CL57T YL P2 EA+/EA-/EB+/EB-/VCC/EGND","Drive-supplied encoder domain","Verify same motor/drive pairing and actual harness continuity. VCC is an output; no external supply. Do not guess wire colours.","HOLD - physical and circuit verification required","","","","","","","","","",""
"MOTOR-YL","Matched YL motor phase factory harness","CL57T YL P3 A+/A-/B+/B-","Motor phases","Verify matched harness, pair identities, retention and strain relief with power absent; preserve encoder phase relationship","HOLD - physical and circuit verification required","","","","","","","","","",""
"BUS-YL","Reviewed 36 V distribution / individual fused YL branch","CL57T YL P4 +VDC / GND","Polarized motion DC","Actual supply/branch design, conductor and fuse ratings, polarity, unloaded voltage, loaded transient qualification","HOLD - physical and circuit verification required","","","","","","","","","",""
"ALM-YL","CL57T YL P1 ALM / COMO","YL separate isolated alarm conditioner; actual terminals TBD","Drive alarm field domain","Measured healthy, alarm, lost-power and open-cable truth table; current limiting and supervision schematic","HOLD - physical and circuit verification required","","","","","","","","","",""
"RES-YL","MOTOR1 EN (PF15)","CL57T ENA+/ENA-: leave unconnected in active baseline","Reserved, not a safety function","No enable harness is released by this worksheet","UNUSED - do not populate without separately reviewed change","","","","","","","","","",""
"SRC-Z-STEP","MOTOR2 STEP signal (PF11; 5 V buffered socket output)","Z qualified interface STEP input; actual terminal TBD","Controller logic / interface input","Actual v1.1 socket orientation, adapter retention and continuity; no plug-in stepper driver","HOLD - physical and circuit verification required","","","","","","","","","",""
"SRC-Z-DIR","MOTOR2 DIR signal (PG3; 5 V buffered socket output)","Z qualified interface DIR input; actual terminal TBD","Controller logic / interface input","Actual v1.1 socket orientation, adapter retention and continuity; no plug-in stepper driver","HOLD - physical and circuit verification required","","","","","","","","","",""
"SRC-Z-RETURN","MOTOR2 verified logic GND","Z qualified interface logic return; terminal TBD","Controller logic return","Verify physical contact and intentional return topology; never substitute a phase or power contact","HOLD - physical and circuit verification required","","","","","","","","","",""
"CMD-Z-PULPLUS","Reviewed protected 5 V command supply / motion-permit interface","CL57T Z P1 PUL+","5 V command only","Drive V4.1 identity; S3=5 V; qualified interface circuit and loaded input voltage/current","HOLD - physical and circuit verification required","","","","","","","","","",""
"CMD-Z-DIRPLUS","Reviewed protected 5 V command supply / motion-permit interface","CL57T Z P1 DIR+","5 V command only","Drive V4.1 identity; S3=5 V; qualified interface circuit and loaded input voltage/current","HOLD - physical and circuit verification required","","","","","","","","","",""
"CMD-Z-PULMINUS","Z qualified STEP sink output; terminal TBD","CL57T Z P1 PUL-","5 V command only","Loaded pulse polarity, width, direction setup and power-transition behavior; no direct MCU connection","HOLD - physical and circuit verification required","","","","","","","","","",""
"CMD-Z-DIRMINUS","Z qualified DIR sink output; terminal TBD","CL57T Z P1 DIR-","5 V command only","Loaded pulse polarity, width, direction setup and power-transition behavior; no direct MCU connection","HOLD - physical and circuit verification required","","","","","","","","","",""
"ENC-Z","Matched Z motor encoder factory harness","CL57T Z P2 EA+/EA-/EB+/EB-/VCC/EGND","Drive-supplied encoder domain","Verify same motor/drive pairing and actual harness continuity. VCC is an output; no external supply. Do not guess wire colours.","HOLD - physical and circuit verification required","","","","","","","","","",""
"MOTOR-Z","Matched Z motor phase factory harness","CL57T Z P3 A+/A-/B+/B-","Motor phases","Verify matched harness, pair identities, retention and strain relief with power absent; preserve encoder phase relationship","HOLD - physical and circuit verification required","","","","","","","","","",""
"BUS-Z","Reviewed 36 V distribution / individual fused Z branch","CL57T Z P4 +VDC / GND","Polarized motion DC","Actual supply/branch design, conductor and fuse ratings, polarity, unloaded voltage, loaded transient qualification","HOLD - physical and circuit verification required","","","","","","","","","",""
"ALM-Z","CL57T Z P1 ALM / COMO","Z separate isolated alarm conditioner; actual terminals TBD","Drive alarm field domain","Measured healthy, alarm, lost-power and open-cable truth table; current limiting and supervision schematic","HOLD - physical and circuit verification required","","","","","","","","","",""
"RES-Z","MOTOR2 EN (PG5)","CL57T ENA+/ENA-: leave unconnected in active baseline","Reserved, not a safety function","No enable harness is released by this worksheet","UNUSED - do not populate without separately reviewed change","","","","","","","","","",""
"SRC-YR-STEP","MOTOR3 STEP signal (PG4; 5 V buffered socket output)","YR qualified interface STEP input; actual terminal TBD","Controller logic / interface input","Actual v1.1 socket orientation, adapter retention and continuity; no plug-in stepper driver","HOLD - physical and circuit verification required","","","","","","","","","",""
"SRC-YR-DIR","MOTOR3 DIR signal (PC1; 5 V buffered socket output)","YR qualified interface DIR input; actual terminal TBD","Controller logic / interface input","Actual v1.1 socket orientation, adapter retention and continuity; no plug-in stepper driver","HOLD - physical and circuit verification required","","","","","","","","","",""
"SRC-YR-RETURN","MOTOR3 verified logic GND","YR qualified interface logic return; terminal TBD","Controller logic return","Verify physical contact and intentional return topology; never substitute a phase or power contact","HOLD - physical and circuit verification required","","","","","","","","","",""
"CMD-YR-PULPLUS","Reviewed protected 5 V command supply / motion-permit interface","CL57T YR P1 PUL+","5 V command only","Drive V4.1 identity; S3=5 V; qualified interface circuit and loaded input voltage/current","HOLD - physical and circuit verification required","","","","","","","","","",""
"CMD-YR-DIRPLUS","Reviewed protected 5 V command supply / motion-permit interface","CL57T YR P1 DIR+","5 V command only","Drive V4.1 identity; S3=5 V; qualified interface circuit and loaded input voltage/current","HOLD - physical and circuit verification required","","","","","","","","","",""
"CMD-YR-PULMINUS","YR qualified STEP sink output; terminal TBD","CL57T YR P1 PUL-","5 V command only","Loaded pulse polarity, width, direction setup and power-transition behavior; no direct MCU connection","HOLD - physical and circuit verification required","","","","","","","","","",""
"CMD-YR-DIRMINUS","YR qualified DIR sink output; terminal TBD","CL57T YR P1 DIR-","5 V command only","Loaded pulse polarity, width, direction setup and power-transition behavior; no direct MCU connection","HOLD - physical and circuit verification required","","","","","","","","","",""
"ENC-YR","Matched YR motor encoder factory harness","CL57T YR P2 EA+/EA-/EB+/EB-/VCC/EGND","Drive-supplied encoder domain","Verify same motor/drive pairing and actual harness continuity. VCC is an output; no external supply. Do not guess wire colours.","HOLD - physical and circuit verification required","","","","","","","","","",""
"MOTOR-YR","Matched YR motor phase factory harness","CL57T YR P3 A+/A-/B+/B-","Motor phases","Verify matched harness, pair identities, retention and strain relief with power absent; preserve encoder phase relationship","HOLD - physical and circuit verification required","","","","","","","","","",""
"BUS-YR","Reviewed 36 V distribution / individual fused YR branch","CL57T YR P4 +VDC / GND","Polarized motion DC","Actual supply/branch design, conductor and fuse ratings, polarity, unloaded voltage, loaded transient qualification","HOLD - physical and circuit verification required","","","","","","","","","",""
"ALM-YR","CL57T YR P1 ALM / COMO","YR separate isolated alarm conditioner; actual terminals TBD","Drive alarm field domain","Measured healthy, alarm, lost-power and open-cable truth table; current limiting and supervision schematic","HOLD - physical and circuit verification required","","","","","","","","","",""
"RES-YR","MOTOR3 EN (PA2)","CL57T ENA+/ENA-: leave unconnected in active baseline","Reserved, not a safety function","No enable harness is released by this worksheet","UNUSED - do not populate without separately reviewed change","","","","","","","","","",""
"IN-PG6","Verified dry contact or isolated conditioned output; actual source TBD","DIAG0/STOP0 PG6 and verified logic return","3.3 V controller input domain","Physical header orientation, source circuit, active/inactive/open/lost-power truth table; no field supply on GPIO","HOLD - physical and circuit verification required","","","","","","","","","",""
"IN-PG9","Verified dry contact or isolated conditioned output; actual source TBD","DIAG1/STOP1 PG9 and verified logic return","3.3 V controller input domain","Physical header orientation, source circuit, active/inactive/open/lost-power truth table; no field supply on GPIO","HOLD - physical and circuit verification required","","","","","","","","","",""
"IN-PG10","Verified dry contact or isolated conditioned output; actual source TBD","DIAG2/STOP2 PG10 and verified logic return","3.3 V controller input domain","Physical header orientation, source circuit, active/inactive/open/lost-power truth table; no field supply on GPIO","HOLD - physical and circuit verification required","","","","","","","","","",""
"IN-PG11","Verified dry contact or isolated conditioned output; actual source TBD","DIAG3/STOP3 PG11 and verified logic return","3.3 V controller input domain","Physical header orientation, source circuit, active/inactive/open/lost-power truth table; no field supply on GPIO","HOLD - physical and circuit verification required","","","","","","","","","",""
"IN-PG12","Verified dry contact or isolated conditioned output; actual source TBD","DIAG4/STOP4 PG12 and verified logic return","3.3 V controller input domain","Optional per-axis wiring for a future firmware candidate; not read by the current firmware; no protective stop credit","HOLD - physical and circuit verification required","","","","","","","","","",""
"IN-PG13","Verified dry contact or isolated conditioned output; actual source TBD","DIAG5/STOP5 PG13 and verified logic return","3.3 V controller input domain","Optional per-axis wiring for a future firmware candidate; not read by the current firmware; no protective stop credit","HOLD - physical and circuit verification required","","","","","","","","","",""
"IN-PG14","Verified dry contact or isolated conditioned output; actual source TBD","DIAG6/STOP6 PG14 and verified logic return","3.3 V controller input domain","Optional per-axis wiring for a future firmware candidate; not read by the current firmware; no protective stop credit","HOLD - physical and circuit verification required","","","","","","","","","",""
"IN-PG15","Verified dry contact or isolated conditioned output; actual source TBD","DIAG7/STOP7 PG15 and verified logic return","3.3 V controller input domain","Optional per-axis wiring for a future firmware candidate; not read by the current firmware; no protective stop credit","HOLD - physical and circuit verification required","","","","","","","","","",""
"IN-PF5","Verified dry contact or isolated conditioned output; actual source TBD","T1 PF5 and verified logic return","3.3 V controller input domain","Physical header orientation, source circuit, active/inactive/open/lost-power truth table; no field supply on GPIO","HOLD - physical and circuit verification required","","","","","","","","","",""
"IN-PB7","Verified dry contact or isolated conditioned output; actual source TBD","PB7 tool-setter input PB7 and verified logic return","3.3 V controller input domain","No board pull-up/RC: interface board adds them. Not fail-safe (open circuit reads untriggered): trigger test before every probing cycle. Physical header orientation and truth table.","HOLD - physical and circuit verification required","","","","","","","","","",""
"IN-PF3","Verified dry contact or isolated conditioned output; actual source TBD","TB PF3 and verified logic return","3.3 V controller input domain","Safety-relay contact closed while the relay is energized, open on E-stop/trip/broken wire (not an NC auxiliary). E-stop pressed and wire unplugged both read Pn:E; never invert $14 to suit a wrong contact.","HOLD - physical and circuit verification required","","","","","","","","","",""
"IN-PF4","Verified dry contact or isolated conditioned output; actual source TBD","T0 PF4 and verified logic return","3.3 V controller input domain","Physical header orientation, source circuit, active/inactive/open/lost-power truth table; no field supply on GPIO","HOLD - physical and circuit verification required","","","","","","","","","",""
"IN-PC0","Verified dry contact or isolated conditioned output; actual source TBD","PWR-DET PC0 and verified logic return","3.3 V controller input domain","Physical header orientation, source circuit, active/inactive/open/lost-power truth table; no field supply on GPIO","HOLD - physical and circuit verification required","","","","","","","","","",""
"IN-PB2","Verified dry contact or isolated conditioned output; actual source TBD","EXP2 PB2 and verified logic return","3.3 V controller input domain","Onboard SW2 (BOOT1) shares this net: guard or remove it. No board pull-up/RC: interface board adds series R, TVS, 3.3 V pull-up and RC. Physical header orientation and truth table.","HOLD - physical and circuit verification required","","","","","","","","","",""
"IN-PB1","Verified dry contact or isolated conditioned output; actual source TBD","EXP2 PB1 and verified logic return","3.3 V controller input domain","All four conditioned healthy channels combined; any alarm, open wire or power loss must assert fault. Never chain raw ALM outputs into PB1. No board pull-up/RC: interface board adds series R, TVS, 3.3 V pull-up and RC. Qualify before coupled dual-Y motion.","HOLD - physical and circuit verification required","","","","","","","","","",""
"OUT-PA8","FAN0 switched power output (PA8)","Qualified isolated/relay interface; actual terminal TBD","Switched low side, not a GPIO/logic ground","Actual positive-side voltage selection, load/interface ratings and suppression; spindle also requires exact drive identity and scaling","HOLD - leave field connection unpopulated during initial motion wiring","","","","","","","","","",""
"OUT-PD14","FAN4 switched power output (PD14)","Qualified isolated/relay interface; actual terminal TBD","Switched low side, not a GPIO/logic ground","Actual positive-side voltage selection, load/interface ratings and suppression; spindle also requires exact drive identity and scaling","HOLD - leave field connection unpopulated during initial motion wiring","","","","","","","","","",""
"OUT-PA0","HE0 switched power output (PA0)","Qualified isolated/relay interface; actual terminal TBD","Switched low side, not a GPIO/logic ground","Actual positive-side voltage selection, load/interface ratings and suppression; spindle also requires exact drive identity and scaling","HOLD - leave field connection unpopulated during initial motion wiring","","","","","","","","","",""
"OUT-PA3","HE1 switched power output (PA3)","Qualified isolated/relay interface; actual terminal TBD","Switched low side, not a GPIO/logic ground","Actual positive-side voltage selection, load/interface ratings and suppression; spindle also requires exact drive identity and scaling","HOLD - leave field connection unpopulated during initial motion wiring","","","","","","","","","",""
"CTRL-24V","Reviewed fused 24 V control supply","Octopus POWER / MAIN VIN and GND terminals","24 V control DC","Actual terminal labels and orientation, polarity, input selector, wire/fuse design and USB return topology. MOTOR POWER and BED POWER unused.","HOLD - physical and circuit verification required","","","","","","","","","",""
"PE-BONDS","Protective-earth system","Cabinet, frame and required conductive parts","Protective earth","Qualified protective-bond design and test; keep separate from signal-return assumptions","HOLD - physical and circuit verification required","","","","","","","","","",""
